barcode,name,unit_price,total_units
MU41 GSAX 3227 6270 9022 2885 797W SW,"Wine - Red; Gallo; Merlot","€78,08",35
CH56 6226 1TBZ YZGK SWW3 Q,Fruit Salad Deluxe,"€79,45",68
PS83 QAKL VCAJ MSHT 9FH5 R2F0 L1QD 4,Dikon,"€33,91",62
AT07 8955 4019 1600 0149,Dried Cranberries,"€81,84",54
AZ63 QZEP 0TOA KF05 IENT Q7L1 MMYX,Beans - Fine,"€53,01",57
DE52 2079 5018 7948 1127 03,Soup - Tomato Mush. Florentine,"€93,86",85
DO46 TFJU 8392 3035 2587 7015 6566,Chocolate - White,"€93,47",85
MR21 6181 4086 5018 4462 9891 286,"Coconut - Shredded; Unsweet","€79,50",87
IE71 FIMW 0106 4052 1603 78,Wine - Alsace Riesling Reserve,"€4,86",87
MD47 ICLX KXUJ V8YK EB8X 8K9M,Rabbit - Whole,"€58,61",36
BA40 9772 9122 7067 3751,Milk - Chocolate 250 Ml,"€78,47",15
IS48 3828 6909 2961 6577 7489 22,Cumin - Whole,"€75,51",59
FR50 6346 9563 52OL MWVO 68EA G93,"Quail - Eggs; Fresh","€91,91",48
LI05 6626 2MN7 BZNV DVRU K,"Wine - Red; Mouton Cadet","€80,45",47
GL33 0276 2839 7484 51,Poppy Seed,"€59,71",32
RS90 7953 0395 7752 2001 15,Shiratamako - Rice Flour,"€63,88",56
BR31 9506 8082 4712 5747 6660 533J J,Cookies - Englishbay Wht,"€93,14",75
MR55 1586 6817 1340 8148 7632 896,Wine - Crozes Hermitage E.,"€12,79",48
GL50 8400 2384 7263 95,Sprouts - Peppercress,"€20,14",79
EE19 5964 7978 5397 8484,Buttons,"€84,28",96
NL98 CRNG 0298 2381 92,Lid Tray - 12in Dome,"€24,47",49
TN86 1780 5348 2407 3643 7525,Kellogs All Bran Bars,"€66,96",44
CR90 4845 7954 2052 7229 1,Bread Country Roll,"€3,85",81
FR64 1755 6852 31JB PHIH DDGL D73,Blueberries - Frozen,"€95,18",28
FR51 7301 7213 98QO NWKD JCYN S84,"Salmon - Atlantic; No Skin","€32,16",30
MT71 VTRJ 4975 3UGJ G9NV WETJ BNWT 1FJ,Quinoa,"€35,84",94
FR10 2915 4801 89ZK R0Q6 Q9BP T63,Bamboo Shoots - Sliced,"€83,34",33
SI45 1065 2965 8967 656,"Appetizer - Spring Roll; Veg","€12,21",11
CZ57 4509 9946 5615 4753 1108,Crackers - Soda / Saltins,"€69,38",55
PK79 SXLU FGIW V312 Y43D GLGP,Pepper - Red Chili,"€25,06",37
KW15 EGJO D51Y ML0I F0HF BS88 4LIH IZ,Pork - Ground,"€61,06",91
FR34 7907 4599 871W QQVG K66N X91,Tuna - Salad Premix,"€46,39",30
BR57 7592 0786 4394 7166 6119 852Z K,Wine - Vineland Estate Semi - Dry,"€38,05",65
MR96 7389 8514 1172 3091 9114 469,Chocolate Eclairs,"€44,24",32
FR36 4003 4146 699T MALA ZSEL O59,Chocolate - Semi Sweet,"€92,88",66
PK07 GXSQ PB84 JLG4 Z790 E8LJ,Corn - Mini,"€77,25",10
TR25 5039 8YBB BZUF A82Z HHWI RX,Squash - Butternut,"€55,20",71
MR73 0479 8308 1885 9577 5349 152,Turnip - White,"€42,77",94
FR52 3444 8239 59GW JSPG LTMY E81,"Sauce - Black Current; Dry Mix","€36,88",41
FR19 8331 3153 783K 0F6Y 0BU2 753,"Nut - Peanut; Roasted","€88,58",5
ME62 8115 7667 4336 5341 04,Wine - Rioja Campo Viejo,"€15,17",87
GB16 XUMP 0819 7418 5457 96,Bread - Hot Dog Buns,"€57,96",34
GI51 OKRG BPEB GXSM RYQL 5XW,Pop Shoppe Cream Soda,"€85,54",74
DK54 2573 9698 2590 98,Appetizer - Escargot Puff,"€73,49",66
MC30 5737 8304 484X BWD8 NEBK B04,"Beef - Rib Roast; Capless","€60,60",97
AT40 8068 4773 1867 9140,"Turkey - Whole; Fresh","€92,68",45
GE46 PP38 6227 1267 5118 87,Beets - Pickled,"€61,77",11
AL33 8280 3539 F4SC XJ6P 5MXO GBCE,"Radish - Black; Winter; Organic","€89,71",89
KW57 ZHHH GUMP UWDV WG9W 7RN0 ZDJ2 3P,Compound - Pear,"€88,84",98
MU22 WNPJ 3936 3101 6245 7679 893C BU,"Cheese - Mozzarella; Shredded","€89,84",16
